# step, energy, mass, x-momentum, y-momentum, z-momentum 
186 9.7129155e+08 3.7146960e+03 3.9474286e+05 5.4642114e+04 0.0000000e+00
187 9.6670400e+08 3.7002724e+03 3.8995660e+05 5.3375241e+04 0.0000000e+00
188 9.6198616e+08 3.6854935e+03 3.8511989e+05 5.1845139e+04 0.0000000e+00
189 9.5755865e+08 3.6713442e+03 3.8046281e+05 5.0863097e+04 0.0000000e+00
190 9.5278234e+08 3.6558174e+03 3.7590848e+05 5.0055481e+04 0.0000000e+00
191 9.4771717e+08 3.6390659e+03 3.7140747e+05 4.9303262e+04 0.0000000e+00
192 9.4226558e+08 3.6208228e+03 3.6696881e+05 4.8579833e+04 0.0000000e+00
193 9.3646487e+08 3.6010899e+03 3.6261114e+05 4.7985955e+04 0.0000000e+00
194 9.3025190e+08 3.5797309e+03 3.5828341e+05 4.7324473e+04 0.0000000e+00
195 9.2365428e+08 3.5568500e+03 3.5398188e+05 4.6675295e+04 0.0000000e+00
196 9.1682757e+08 3.5329338e+03 3.4978215e+05 4.6169062e+04 0.0000000e+00
197 9.0976195e+08 3.5080145e+03 3.4563321e+05 4.5749385e+04 0.0000000e+00
198 9.0245973e+08 3.4821795e+03 3.4152690e+05 4.5346104e+04 0.0000000e+00
199 8.9497787e+08 3.4555401e+03 3.3748070e+05 4.4996023e+04 0.0000000e+00
200 8.8736383e+08 3.4283200e+03 3.3350019e+05 4.4700921e+04 0.0000000e+00
201 8.7965426e+08 3.4008174e+03 3.2956825e+05 4.4353877e+04 0.0000000e+00
202 8.7201814e+08 3.3734898e+03 3.2573036e+05 4.4166162e+04 0.0000000e+00
203 8.6447326e+08 3.3464181e+03 3.2197877e+05 4.4032360e+04 0.0000000e+00
204 8.5707293e+08 3.3199345e+03 3.1832487e+05 4.3942668e+04 0.0000000e+00
205 8.4987388e+08 3.2942177e+03 3.1477574e+05 4.3896716e+04 0.0000000e+00
206 8.4295863e+08 3.2695167e+03 3.1135005e+05 4.3977082e+04 0.0000000e+00
207 8.3624837e+08 3.2455974e+03 3.0802964e+05 4.4044220e+04 0.0000000e+00
208 8.2981913e+08 3.2228713e+03 3.0481397e+05 4.4091627e+04 0.0000000e+00
209 8.2366527e+08 3.2011548e+03 3.0170593e+05 4.4115612e+04 0.0000000e+00
210 8.1768124e+08 3.1800685e+03 2.9869818e+05 4.4108607e+04 0.0000000e+00
211 8.1189467e+08 3.1597088e+03 2.9578304e+05 4.4081787e+04 0.0000000e+00
212 8.0628153e+08 3.1400388e+03 2.9297932e+05 4.4040535e+04 0.0000000e+00
213 8.0084479e+08 3.1210497e+03 2.9027882e+05 4.3920060e+04 0.0000000e+00
